tag_id,name,category,count,right_tag_cn,game
1515818,denji_(chainsaw_man),4,3464,denji_(chainsaw_man),chainsaw_man
1539717,reze_(chainsaw_man),4,1860,reze_(chainsaw_man),chainsaw_man
466365,mega_man_(character),4,1132,mega_man_(character),character
1572332,helltaker_(character),4,949,helltaker_(character),character
1705933,monster_hunter_(character),4,3486,monster_hunter_(character),character
1762593,kirisawa_juuzou_(character),4,700,kirisawa_juuzou_(character),character
1667541,pom_pom_(cheerleading),0,15083,pom_pom_(cheerleading),cheerleading
1303619,pawn_(chess),0,701,pawn_(chess),chess
385267,tokyo_(city),0,890,tokyo_(city),city
2075818,nike_(company),0,1884,nike_(company),company
1410867,window_(computing),0,763,window_(computing),computing
1715534,baton_(conducting),0,1050,baton_(conducting),conducting
1892220,pitcher_(container),0,711,pitcher_(container),container
1618015,slime_(creature),0,2697,slime_(creature),creature
519987,pikmin_(creature),0,1212,pikmin_(creature),creature
1422082,digimon_(creature),0,5145,digimon_(creature),creature
1846970,rebecca_(cyberpunk),4,1525,rebecca_(cyberpunk),cyberpunk
1846972,lucy_(cyberpunk),4,1113,lucy_(cyberpunk),cyberpunk
1246632,monomi_(danganronpa),4,1088,monomi_(danganronpa),danganronpa
1680379,mash_kyrielight_(dangerous_beast),4,2132,mash_kyrielight_(dangerous_beast),dangerous_beast
1681601,mash_kyrielight_(dangerous_beast)_(cosplay),0,1166,mash_kyrielight_(dangerous_beast)_(cosplay),dangerous_beast)_(cosplay
1312747,hestia_(danmachi),4,3738,hestia_(danmachi),danmachi
1589903,yin_(darker_than_black),4,1122,yin_(darker_than_black),darker_than_black
1442305,hiro_(darling_in_the_franxx),4,1724,hiro_(darling_in_the_franxx),darling_in_the_franxx
1442306,zero_two_(darling_in_the_franxx),4,4068,zero_two_(darling_in_the_franxx),darling_in_the_franxx
1442307,ichigo_(darling_in_the_franxx),4,1007,ichigo_(darling_in_the_franxx),darling_in_the_franxx
436841,raven_(dc),4,1029,raven_(dc),dc
1480768,siro_(dennou_shoujo_youtuber_siro),4,659,siro_(dennou_shoujo_youtuber_siro),dennou_shoujo_youtuber_siro
661692,dante_(devil_may_cry),4,1137,dante_(devil_may_cry),devil_may_cry
1824247,etna_(disgaea),4,1719,etna_(disgaea),disgaea
1790615,spicy_nun_(diva),4,744,spicy_nun_(diva),diva
1790618,froggy_nun_(diva),4,907,froggy_nun_(diva),diva
1790620,clumsy_nun_(diva),4,1036,clumsy_nun_(diva),diva
488853,kasumi_(doa),4,1692,kasumi_(doa),doa
1441567,monika_(doki_doki_literature_club),4,1406,monika_(doki_doki_literature_club),doki_doki_literature_club
1441569,yuri_(doki_doki_literature_club),4,827,yuri_(doki_doki_literature_club),doki_doki_literature_club
1441570,natsuki_(doki_doki_literature_club),4,865,natsuki_(doki_doki_literature_club),doki_doki_literature_club
1441568,sayori_(doki_doki_literature_club),4,698,sayori_(doki_doki_literature_club),doki_doki_literature_club
1228013,regina_(dokidoki!_precure),4,751,regina_(dokidoki!_precure),dokidoki!_precure
1611387,fumo_(doll),0,1083,fumo_(doll),doll
1694419,douki-chan_(douki-chan),4,708,douki-chan_(douki-chan),douki-chan
404920,sage_(dq3),4,729,sage_(dq3),dq3
404919,soldier_(dq3),4,686,soldier_(dq3),dq3
1674016,manya_(dq4),4,768,manya_(dq4),dq4
1592675,bianca_(dq5),4,926,bianca_(dq5),dq5
628623,sorceress_(dragon's_crown),4,1052,sorceress_(dragon's_crown),dragon's_crown
526169,trunks_(dragon_ball),4,1042,trunks_(dragon_ball),dragon_ball
1332548,chi-chi_(dragon_ball),4,1329,chi-chi_(dragon_ball),dragon_ball
474262,slime_(dragon_quest),4,1020,slime_(dragon_quest),dragon_quest
